OBJECTID,STYLE,TIME1,TIME2,TIME3,TIME4,TYPE,Meter,RatePerHr,MaxTime,Long,Lat
32, , , , , ,PARKING METER,4620,2.5,2 HOURS,-123.369402631194,48.4301326859545
33, , , , , ,PARKING METER,4621,2.5,2 HOURS,-123.369315665092,48.430132964861
34, , , , , ,PARKING METER,4622,2.5,2 HOURS,-123.369229888583,48.4301332398881
35, , , , , ,PARKING METER,4623,2.5,2 HOURS,-123.369145315843,48.4301350961884
36, , , , , ,PARKING METER,4624,2.5,2 HOURS,-123.369057509682,48.4301354846516
37, , , , , ,PARKING METER,4627,2.5,2 HOURS,-123.368782467699,48.4301399679076
38, , , , , ,PARKING METER,4626,2.5,2 HOURS,-123.368868787652,48.4301396914734
39, , , , , ,PARKING METER,4729,2.5,2 HOURS,-123.368701456315,48.4302356089025
40, , , , , ,PARKING METER,4728,2.5,2 HOURS,-123.368786231307,48.4302353374764
41, , , , , ,PARKING METER,4727,2.5,2 HOURS,-123.368879643192,48.4302337509161
42, , , , , ,PARKING METER,4726,2.5,2 HOURS,-123.368965351577,48.4302330049483
43, , , , , ,PARKING METER,4725,2.5,2 HOURS,-123.369048799216,48.4302308878866
44, , , , , ,PARKING METER,4724,2.5,2 HOURS,-123.369130953019,48.4302298760912
45, , , , , ,PARKING METER,4723,2.5,2 HOURS,-123.36921279498,48.4302294851005
46, , , , , ,PARKING METER,4722,2.5,2 HOURS,-123.369294489838,48.430228568224
47, , , , , ,PARKING METER,4721,2.5,2 HOURS,-123.369377381663,48.4302267990741
48, , , , , ,PARKING METER,4521,2.5,2 HOURS,-123.369566695375,48.42999038448
49, , , , , ,PARKING METER,4520,2.5,2 HOURS,-123.369567051041,48.4299320019033
50, , , , , ,PARKING METER,4519,2.5,2 HOURS,-123.369565870325,48.4298768819136
51, , , , , ,PARKING METER,4518,2.5,2 HOURS,-123.36956547505,48.4298221381587
52, , , , , ,PARKING METER,4517,2.5,2 HOURS,-123.369564274823,48.4297658171886
53, , , , , ,PARKING METER,4516,2.5,2 HOURS,-123.369560807221,48.4297111264748
54, , , , , ,PARKING METER,4515,2.5,2 HOURS,-123.369556156955,48.4296540347722
55,HANDICAP,120 MIN, , , ,PARKING METER,3455,2.5,2 HOURS,-123.356509211029,48.4236059787912
56, , , , , ,PARKING METER,3456,2.5,2 HOURS,-123.356422608259,48.423596909372
57, , , , , ,PARKING METER,3457,2.5,2 HOURS,-123.356334755412,48.4235870934419
58, , , , , ,PARKING METER,3458,2.5,2 HOURS,-123.356243612907,48.4235773164116
59, , , , , ,PARKING METER,3459,2.5,2 HOURS,-123.356160519071,48.423568426664
60, , , , , ,PARKING METER,3578,2.5,2 HOURS,-123.356343686946,48.4237049757632
61, , , , , ,PARKING METER,3577,2.5,2 HOURS,-123.35642889973,48.4237149204101
62, , , , , ,PARKING METER,3576,2.5,2 HOURS,-123.356516111621,48.4237236982455
63, , , , , ,PARKING METER,3575,2.5,2 HOURS,-123.356602826678,48.4237319755446
64, , , , , ,PARKING METER,3650,2,3 HOURS,-123.35681471019,48.4238803247852
65, , , , , ,PARKING METER,3651,2,3 HOURS,-123.3567997876,48.4239353400717
66, , , , , ,PARKING METER,3652,2,3 HOURS,-123.356786005749,48.4239895763168
67, , , , , ,PARKING METER,3653,2,3 HOURS,-123.356748784528,48.4241382628045
68, , , , , ,PARKING METER,3654,2,3 HOURS,-123.356735200502,48.4241931623772
69, , , , , ,PARKING METER,3655,2,3 HOURS,-123.356722831615,48.424247675829
70, , , , , ,PARKING METER,3656,2,3 HOURS,-123.356709105625,48.424302385111
71, , , , , ,PARKING METER,3657,2,3 HOURS,-123.35669512457,48.4243571563583
72, , , , , ,PARKING METER,3091,2,3 HOURS,-123.356929852926,48.4239847473309
73, , , , , ,PARKING METER,3090,2,3 HOURS,-123.356943518226,48.4239295245086
74, , , , , ,PARKING METER,3092,2,3 HOURS,-123.356893703409,48.4241372072961
75, , , , , ,PARKING METER,3093,2,3 HOURS,-123.356857533329,48.4242867614213
76, , , , , ,PARKING METER,3094,2,3 HOURS,-123.356844211242,48.4243408361066
77, , , , , ,PARKING METER,3649,2,3 HOURS,-123.357063976458,48.4245178468487
78, , , , , ,PARKING METER,3648,2,3 HOURS,-123.357154258797,48.4245267109164
79, , , , , ,PARKING METER,3750,2,3 HOURS,-123.357030418116,48.4245956290916
80, , , , , ,PARKING METER,3749,2,3 HOURS,-123.357115420143,48.424606705625
81, , , , , ,PARKING METER,3748,2,3 HOURS,-123.357203053454,48.4246163596705
82, , , , , ,PARKING METER,3865,2,3 HOURS,-123.356622892965,48.4246552142476
83, , , , , ,PARKING METER,3866,2,3 HOURS,-123.356609043539,48.4247129836327
84, , , , , ,PARKING METER,3867,2,3 HOURS,-123.356593069703,48.4247683125296
85, , , , , ,PARKING METER,3868,2,3 HOURS,-123.356577627741,48.4248239330651
86, , , , , ,PARKING METER,3869,2,3 HOURS,-123.356565640382,48.424878928433
87, , , , , ,PARKING METER,3870,2,3 HOURS,-123.356550419804,48.4249335496599
88, , , , , ,PARKING METER,3871,2,3 HOURS,-123.356537963783,48.4249874479953
89, , , , , ,PARKING METER,3872,2,3 HOURS,-123.356525530741,48.425042502305
90, , , , , ,PARKING METER,3873,2,3 HOURS,-123.356512463809,48.4250975675691
91, , , , , ,PARKING METER,3874,2,3 HOURS,-123.356501120759,48.4251517350336
92, , , , , ,PARKING METER,3751,2,3 HOURS,-123.356750795976,48.4247198865554
93, , , , , ,PARKING METER,3752,2,3 HOURS,-123.356735687977,48.4247754934795
94, , , , , ,PARKING METER,3753,2,3 HOURS,-123.356670659967,48.4250481461299
95, , , , , ,PARKING METER,3754,2,3 HOURS,-123.356656520785,48.42510313916
96, , , , , ,PARKING METER,3755,2,3 HOURS,-123.356638144816,48.4251636629073
97, ,120 MIN, , , ,PARKING METER,3645,2,3 HOURS,-123.357645641942,48.4245810415501
98, ,120 MIN, , , ,PARKING METER,3745,2,3 HOURS,-123.357881821716,48.4246896788513
99,HANDICAP,120 MIN, , , ,PARKING METER,3746,2,3 HOURS,-123.357789114988,48.4246813392987
100, , , , , ,PARKING METER,3744,2,3 HOURS,-123.358434448377,48.4247491274431
101, , , , , ,PARKING METER,3743,2,3 HOURS,-123.358535949276,48.4247610657953
102, , , , , ,PARKING METER,3742,2,3 HOURS,-123.358862439919,48.4247968082202
103, , , , , ,PARKING METER,3741,2,3 HOURS,-123.358952734254,48.4248080101099
104, , , , , ,PARKING METER,3740,2,3 HOURS,-123.359045710542,48.4248176957454
105, , , , , ,PARKING METER,3640,2,3 HOURS,-123.359271613798,48.4247572479355
106, , , , , ,PARKING METER,3641,2,3 HOURS,-123.359178451396,48.4247466535101
107, , , , , ,PARKING METER,3642,2,3 HOURS,-123.359092356126,48.4247366901301
108, , , , , ,PARKING METER,3643,2,3 HOURS,-123.359004485296,48.4247277632254
109, , , , , ,PARKING METER,3644,2,3 HOURS,-123.358917446503,48.4247177855616
110, , , , , ,PARKING METER,3460,2.5,2 HOURS,-123.356066148963,48.4235578920685
111, , , , , ,PARKING METER,3461,2.5,2 HOURS,-123.355977454123,48.4235480703703
112, , , , , ,PARKING METER,3462,2.5,2 HOURS,-123.355888550949,48.4235387989377
113, , , , , ,PARKING METER,3463,2.5,2 HOURS,-123.355798826419,48.4235286204206
114, , , , , ,PARKING METER,3464,2.5,2 HOURS,-123.355709914606,48.4235190699819
115, , , , , ,PARKING METER,3465,2.5,2 HOURS,-123.355616659221,48.4235082571754
116, ,20 MIN, , , ,PARKING METER,3466,2.5,2 HOURS,-123.3555289029,48.4234988640655
117, , , , , ,PARKING METER,3467,2.5,2 HOURS,-123.355439448346,48.4234897766163
118, , , , , ,PARKING METER,3468,2.5,2 HOURS,-123.355352438536,48.4234810117262
119, , , , , ,PARKING METER,3469,2.5,2 HOURS,-123.355124692511,48.4234539113746
120, , , , , ,PARKING METER,3470,2.5,2 HOURS,-123.354898898079,48.4234294630409
121, , , , , ,PARKING METER,3471,2.5,2 HOURS,-123.354814529754,48.4234203288363
122, , , , , ,PARKING METER,3472,2.5,2 HOURS,-123.354728802638,48.4234109432527
123, , , , , ,PARKING METER,3473,2.5,2 HOURS,-123.354646270402,48.4234020704653
124, , , , , ,PARKING METER,3474,2.5,2 HOURS,-123.354564486294,48.4233928993271
125, , , , , ,PARKING METER,3475,2.5,2 HOURS,-123.354481288542,48.4233837522749
126, , , , , ,PARKING METER,3476,2.5,2 HOURS,-123.35439708641,48.4233753648656
127, , , , , ,PARKING METER,3481,2,3 HOURS,-123.353165472657,48.4232396437463
128, , , , , ,PARKING METER,3482,2,3 HOURS,-123.353074390734,48.4232294485346
129, , , , , ,PARKING METER,3483,2,3 HOURS,-123.352982981339,48.4232203653327
130, , , , , ,PARKING METER,3484,2,3 HOURS,-123.352897177466,48.4232111101264
131, , , , , ,PARKING METER,3485,2,3 HOURS,-123.352810412455,48.4232008582831
132, , , , , ,PARKING METER,3486,2,3 HOURS,-123.352724244229,48.4231918748619
133, , , , , ,PARKING METER,3487,2,3 HOURS,-123.352636617121,48.4231826277489
134, , , , , ,PARKING METER,3488,2,3 HOURS,-123.352548653379,48.4231723883784
135, , , , , ,PARKING METER,3489,2,3 HOURS,-123.352462109181,48.4231627733686
136, , , , , ,PARKING METER,3490,2,3 HOURS,-123.352375097535,48.4231535781875
137, , , , , ,PARKING METER,3491,2,3 HOURS,-123.352294513899,48.4231443101818
138, , , , , ,PARKING METER,3492,2,3 HOURS,-123.352214737197,48.4231358196499
139, , , , , ,PARKING METER,3493,2,3 HOURS,-123.352134145604,48.4231267611757
140, , , , , ,PARKING METER,3599,2,3 HOURS,-123.353351381685,48.4233763778922
141, , , , , ,PARKING METER,3598,2,3 HOURS,-123.353436065309,48.4233856209064
142, , , , , ,PARKING METER,3597,2,3 HOURS,-123.353515214244,48.4233951084753
143, , , , , ,PARKING METER,3596,2,3 HOURS,-123.353596639025,48.4234035660855
144, , , , , ,PARKING METER,3595,2,3 HOURS,-123.353678109625,48.4234127792098
145, , , , , ,PARKING METER,3593,2.5,2 HOURS,-123.354435695354,48.4234972360071
146, , , , , ,PARKING METER,3592,2.5,2 HOURS,-123.354517561889,48.4235061883639
147, , , , , ,PARKING METER,3591,2.5,2 HOURS,-123.35478836337,48.4235351589934
148, , , , , ,PARKING METER,3590,2.5,2 HOURS,-123.354880719852,48.4235448191838
149, , , , , ,PARKING METER,3589,2.5,2 HOURS,-123.354969669198,48.4235545347865
150, , , , , ,PARKING METER,3588,2.5,2 HOURS,-123.355055835084,48.4235634159243
151, , , , , ,PARKING METER,3587,2.5,2 HOURS,-123.355143426994,48.4235722943978
152, , , , , ,PARKING METER,3585,2.5,2 HOURS,-123.355340970573,48.4235953351002
153, , , , , ,PARKING METER,3586,2.5,2 HOURS,-123.355235835559,48.4235835897176
154, , , , , ,PARKING METER,3584,2.5,2 HOURS,-123.355602655572,48.423623277535
155, , , , , ,PARKING METER,3583,2.5,2 HOURS,-123.355803431046,48.4236458792182
156, , , , , ,PARKING METER,3582,2.5,2 HOURS,-123.355886087539,48.4236544583933
157, , , , , ,PARKING METER,3581,2.5,2 HOURS,-123.35597700256,48.4236645548875
158, , , , , ,PARKING METER,3580,2.5,2 HOURS,-123.356071515407,48.4236755668297
159, , , , , ,PARKING METER,3579,2.5,2 HOURS,-123.356160328961,48.4236855140362
160,TOUR BUS, , , , ,PARKING METER,3666,1.5,24 HOURS,-123.355629375197,48.4243587673921
161,TOUR BUS, , , , ,PARKING METER,3665,1.5,24 HOURS,-123.355714009975,48.4243680674843
162,TOUR BUS, , , , ,PARKING METER,3664,1.5,24 HOURS,-123.355798207292,48.4243772393149
163,TOUR BUS, , , , ,PARKING METER,3663,1.5,24 HOURS,-123.355882398904,48.4243857831405
164,TOUR BUS, , , , ,PARKING METER,3662,1.5,24 HOURS,-123.355966596287,48.4243949557465
165,TOUR BUS, , , , ,PARKING METER,3660,1.5,24 HOURS,-123.356133894463,48.4244114940543
166,TOUR BUS, , , , ,PARKING METER,3661,1.5,24 HOURS,-123.356048898326,48.424403504392
167,TOUR BUS, , , , ,PARKING METER,3667,1.5,24 HOURS,-123.355545832575,48.4243486865605
168,TOUR BUS, , , , ,PARKING METER,3668,1.5,24 HOURS,-123.355464099992,48.4243405568338
169,TOUR BUS, , , , ,PARKING METER,3669,1.5,24 HOURS,-123.355381234664,48.424331837671
170,TOUR BUS, , , , ,PARKING METER,3670,1.5,24 HOURS,-123.355297876014,48.4243231208702
171, , , , , ,PARKING METER,3671,1.5,24 HOURS,-123.355214308246,48.4243146502602
172, , , , , ,PARKING METER,3672,1.5,24 HOURS,-123.35513074185,48.4243061786851
173, , , , , ,PARKING METER,3673,1.5,24 HOURS,-123.355047171306,48.4242969135639
174, , , , , ,PARKING METER,3674,1.5,24 HOURS,-123.3549624101,48.4242884455503
175, , , , , ,PARKING METER,3675,1.5,24 HOURS,-123.354877051019,48.4242781647077
176, , , , , ,PARKING METER,3676,1.5,24 HOURS,-123.354791093537,48.4242689067565
177, , , , , ,PARKING METER,3677,1.5,24 HOURS,-123.354706322727,48.4242588515866
178, , , , , ,PARKING METER,3678,1.5,24 HOURS,-123.354619720792,48.4242494335535
179, , , , , ,PARKING METER,3679,1.5,24 HOURS,-123.353545120894,48.4241334043597
180, , , , , ,PARKING METER,3680,1.5,24 HOURS,-123.353461548266,48.4241241373213
181,, , , , ,PARKING METER,3770,1.5,,-123.354283630586,48.4243013726984
182, , , , , ,PARKING METER,3769,1.5,24 HOURS,-123.354701265135,48.424343981064
183, , , , , ,PARKING METER,3768,1.5,24 HOURS,-123.354787024717,48.424353337753
184, , , , , ,PARKING METER,3767,1.5,24 HOURS,-123.354873045401,48.4243627223618
185, , , , , ,PARKING METER,3766,1.5,24 HOURS,-123.355110220317,48.4243885993182
186, , , , , ,PARKING METER,3765,1.5,24 HOURS,-123.355516367626,48.4244332490689
187, , , , , ,PARKING METER,3764,1.5,24 HOURS,-123.35560108171,48.4244424707273
188, , , , , ,PARKING METER,3763,1.5,24 HOURS,-123.35569334537,48.4244525155758
189, , , , , ,PARKING METER,3762,1.5,24 HOURS,-123.355779270206,48.4244618692095
190, , , , , ,PARKING METER,3761,1.5,24 HOURS,-123.35586201889,48.4244708781312
191, , , , , ,PARKING METER,3760,1.5,24 HOURS,-123.35595598455,48.4244805522457
192, , , , , ,PARKING METER,4414,3,90 MIN,-123.368727289898,48.4293098844825
193, , , , , ,PARKING METER,4413,3,90 MIN,-123.368804186942,48.4293082078092
194, , , , , ,PARKING METER,4415,3,90 MIN,-123.368641493232,48.4293107331177
196, , , , , ,PARKING METER,4530,3,90 MIN,-123.368861607847,48.4293853593328
197, , , , , ,PARKING METER,4526,3,90 MIN,-123.36923855466,48.4293786860294
198, , , , , ,PARKING METER,4525,3,90 MIN,-123.369322652183,48.4293776498713
199, , , , , ,PARKING METER,4410,3,90 MIN,-123.369033967199,48.429306019717
200, , , , , ,PARKING METER,4409,3,90 MIN,-123.369120482846,48.4293047735355
201, , , , , ,PARKING METER,4408,3,90 MIN,-123.369207039881,48.4293021488816
202, , , , , ,PARKING METER,4407,3,90 MIN,-123.369303636227,48.4293020478966
203, , , , , ,PARKING METER,4403,3,90 MIN,-123.369525258527,48.4289377175047
204, , , , , ,PARKING METER,4402,3,90 MIN,-123.369523662957,48.4288812572897
205, , , , , ,PARKING METER,4404,3,90 MIN,-123.369528222614,48.4289962911266
206, , , , , ,PARKING METER,4405,3,90 MIN,-123.369530471551,48.4290529966508
207, ,20 MIN, , , ,PARKING METER,4400,3,90 MIN,-123.36951948056,48.4287679100022
208, , , , , ,PARKING METER,4401,3,90 MIN,-123.369521670126,48.4288231447748
209, , , , , ,PARKING METER,4013,3,90 MIN,-123.369497457699,48.4282300201968
210, , , , , ,PARKING METER,4012,3,90 MIN,-123.36949576365,48.4281745094342
211, , , , , ,PARKING METER,4011,3,90 MIN,-123.369493637951,48.4281185664205
212, , , , , ,PARKING METER,4010,3,90 MIN,-123.369491509844,48.4280632216879
213, , , , , ,PARKING METER,4009,3,90 MIN,-123.369608619456,48.4282404611172
214, , , , , ,PARKING METER,4008,3,90 MIN,-123.369606307859,48.4282108670324
215, , , , , ,PARKING METER,4007,3,90 MIN,-123.369608725857,48.4281754612566
216, , , , , ,PARKING METER,4006,3,90 MIN,-123.369606108096,48.4281411233489
217,SMALL VEHICLE, , , , ,PARKING METER,4200,3,90 MIN,-123.369105402445,48.4284519911374
218, , , , , ,PARKING METER,4201,3,90 MIN,-123.369016852584,48.4284543441742
219, , , , , ,PARKING METER,4202,3,90 MIN,-123.368932093168,48.4284550215279
220, , , , , ,PARKING METER,4203,3,90 MIN,-123.368847519301,48.4284550018886
221, , , , , ,PARKING METER,4204,3,90 MIN,-123.368763075413,48.4284563168647
222, , , , , ,PARKING METER,4205,3,90 MIN,-123.368680519765,48.4284576023417
223, , , , , ,PARKING METER,4206,3,90 MIN,-123.368598176318,48.4284588843809
224, , , , , ,PARKING METER,3555,2.5,2 HOURS,-123.359405024098,48.4240392846627
225, , , , , ,PARKING METER,3556,2.5,2 HOURS,-123.359314295115,48.4240300952154
226, , , , , ,PARKING METER,3557,2.5,2 HOURS,-123.359224690616,48.4240203093163
227, , , , , ,PARKING METER,3558,2.5,2 HOURS,-123.359137002959,48.4240107323893
228, , , , , ,PARKING METER,3559,2.5,2 HOURS,-123.359049708977,48.4240011982517
229, , , , , ,PARKING METER,3560,2.5,2 HOURS,-123.358961460007,48.4239915599645
230, , , , , ,PARKING METER,3561,2.5,2 HOURS,-123.358869813026,48.4239815498416
231, , , , , ,PARKING METER,3562,2.5,2 HOURS,-123.358777124491,48.423971426834
232, ,20 MIN, , , ,PARKING METER,3563,2.5,2 HOURS,-123.35869118742,48.4239620402402
233, ,20 MIN, , , ,PARKING METER,3564,2.5,2 HOURS,-123.358600089759,48.423952091168
234, , , , , ,PARKING METER,3565,2.5,2 HOURS,-123.358208656051,48.4239093367216
235, , , , , ,PARKING METER,3566,2.5,2 HOURS,-123.357967296061,48.423882557003
236, , , , , ,PARKING METER,3567,2.5,2 HOURS,-123.357884569378,48.4238731329758
237, , , , , ,PARKING METER,3568,2.5,2 HOURS,-123.357800031637,48.4238646942429
238, , , , , ,PARKING METER,3569,2.5,2 HOURS,-123.357718249227,48.4238557610722
239, , , , , ,PARKING METER,3570,2.5,2 HOURS,-123.357634233514,48.4238465837758
240, , , , , ,PARKING METER,3571,2.5,2 HOURS,-123.357552553969,48.4238376618623
241, , , , , ,PARKING METER,3572,2.5,2 HOURS,-123.357470603908,48.423828710142
242, , , , , ,PARKING METER,3573,2.5,2 HOURS,-123.357385798305,48.4238194469489
243, , , , , ,PARKING METER,3449,2.5,2 HOURS,-123.357782250259,48.4237449278215
244, , , , , ,PARKING METER,3448,2.5,2 HOURS,-123.3578679324,48.4237535213533
245, , , , , ,PARKING METER,3447,2.5,2 HOURS,-123.357953281978,48.4237624883126
246, , , , , ,PARKING METER,3446,2.5,2 HOURS,-123.35803757785,48.4237723059614
247, , , , , ,PARKING METER,3445,2.5,2 HOURS,-123.35812254027,48.4237815663866
248, , , , , ,PARKING METER,3444,2.5,2 HOURS,-123.358211286856,48.4237917092339
249, , , , , ,PARKING METER,3443,2.5,2 HOURS,-123.35830078293,48.4238015563917
250, , , , , ,PARKING METER,3442,2.5,2 HOURS,-123.358389985048,48.4238112965273
251, , , , , ,PARKING METER,3441,2.5,2 HOURS,-123.358479350752,48.4238208382133
252, , , , , ,PARKING METER,3440,2.5,2 HOURS,-123.358567776053,48.4238300426869
253, , , , , ,PARKING METER,3439,2.5,2 HOURS,-123.358653201248,48.4238395227315
254, , , , , ,PARKING METER,3438,2.5,2 HOURS,-123.358752444775,48.4238503595447
255, , , , , ,PARKING METER,3436,2.5,2 HOURS,-123.358946048004,48.4238706419692
256, , , , , ,PARKING METER,3435,2.5,2 HOURS,-123.359032952835,48.4238808053587
257, , , , , ,PARKING METER,3437,2.5,2 HOURS,-123.358841186228,48.4238595295364
258, , 90 MIN, , , ,PARKING METER,3067,2,3 HOURS,-123.359683123213,48.4238031006963
259, , 90 MIN, , , ,PARKING METER,3066,2,3 HOURS,-123.3596981634,48.4237414470506
260, , 90 MIN, , , ,PARKING METER,3065,2,3 HOURS,-123.359712355545,48.423685274959
261, , , , , ,PARKING METER,3064,2,3 HOURS,-123.359800001072,48.4233380234725
262, , , , , ,PARKING METER,3063,2,3 HOURS,-123.359813718296,48.4232837286319
263, , , , , ,PARKING METER,3062,2,3 HOURS,-123.359827330283,48.4232298479599
264, , , , , ,PARKING METER,3061,2,3 HOURS,-123.359840964596,48.4231758790496
265, , , , , ,PARKING METER,3059,2,3 HOURS,-123.359900950021,48.4229385583421
266, , , , , ,PARKING METER,3058,2,3 HOURS,-123.359914501904,48.4228849972224
267, , , , , ,PARKING METER,3057,2,3 HOURS,-123.359928404839,48.4228300468333
268, , , , , ,PARKING METER,3056,2,3 HOURS,-123.359942493137,48.4227743617429
269, , , , , ,PARKING METER,3055,2,3 HOURS,-123.359956280277,48.4227198660378
270, , , , , ,PARKING METER,3060,2,3 HOURS,-123.359887033905,48.4229935645467
271, , , , , ,PARKING METER,1470,2,3 HOURS,-123.360086731629,48.4222082913368
272, , , , , ,PARKING METER,1469,2,3 HOURS,-123.360099500904,48.4221519140097
273, , , , , ,PARKING METER,1468,2,3 HOURS,-123.360114345961,48.4220931991804
274, , , , , ,PARKING METER,1467,2,3 HOURS,-123.360129000335,48.4220352397569
275, , , , , ,PARKING METER,1466,2,3 HOURS,-123.360144847231,48.4219725579023
276, , , , , ,PARKING METER,1465,2,3 HOURS,-123.36016023655,48.4219116911837
277,TOUR BUS, , , , ,PARKING METER,1576,2,3 HOURS,-123.360289296113,48.4220504204322
278,TOUR BUS, , , , ,PARKING METER,1575,2,3 HOURS,-123.360307594952,48.4219919844639
279,TOUR BUS, , , , ,PARKING METER,1577,2,3 HOURS,-123.360270839953,48.4221093606968
280,TOUR BUS, , , , ,PARKING METER,1578,2,3 HOURS,-123.360254443099,48.422161723424
281, , , , , ,PARKING METER,3164,2,3 HOURS,-123.36005546382,48.4229488083956
282, , , , , ,PARKING METER,3163,2,3 HOURS,-123.360069914137,48.4228946371811
283, , , , , ,PARKING METER,3162,2,3 HOURS,-123.360085690586,48.4228399193258
284, , , , , ,PARKING METER,3161,2,3 HOURS,-123.360098876832,48.4227857178709
285, , , , , ,PARKING METER,3160,2,3 HOURS,-123.360111385081,48.4227312126502
286, , , , , ,PARKING METER,3165,2,3 HOURS,-123.360041652276,48.4230038610742
287, , , , , ,PARKING METER,3166,2,3 HOURS,-123.360027865509,48.4230614686982
288, , , , , ,PARKING METER,3332,2,3 HOURS,-123.35993607285,48.4234304096616
289, , , , , ,PARKING METER,3331,2,3 HOURS,-123.359947894343,48.4233773730512
290, , , , , ,PARKING METER,3333,2,3 HOURS,-123.359923153576,48.4234843745473
291, , , , , ,PARKING METER,3334,2,3 HOURS,-123.359907769764,48.4235382805565
292, , , , , ,PARKING METER,3335,2,3 HOURS,-123.359895355724,48.4235922123715
293, , , , , ,PARKING METER,3336,2,3 HOURS,-123.359878986482,48.4236461187556
294, , , , , ,PARKING METER,3337,2,3 HOURS,-123.359863099301,48.423699386674
295, ,20 MIN, , , ,PARKING METER,3638,2,3 HOURS,-123.359615032231,48.4246772836962
296, ,90 MIN, , , ,PARKING METER,3637,2,3 HOURS,-123.35962844376,48.4246217312256
297, ,90 MIN, , , ,PARKING METER,3083,2,3 HOURS,-123.359466243607,48.4246617404999
298, ,90 MIN, , , ,PARKING METER,3082,2,3 HOURS,-123.359480303424,48.4246066655405
299, ,90 MIN, , , ,PARKING METER,3081,2,3 HOURS,-123.359494127317,48.42455168308
300, ,90 MIN, , , ,PARKING METER,3080,2,3 HOURS,-123.359508199695,48.424495714718
301, , , , , ,PARKING METER,3320,2.5,2 HOURS,-123.362100784162,48.4234778963359
302,HANDICAP, , , , ,PARKING METER,3321,2.5,2 HOURS,-123.362014517732,48.4234685420477
303, , , , , ,PARKING METER,3322,2.5,2 HOURS,-123.361542068051,48.4234173473308
304, , , , , ,PARKING METER,3323,2.5,2 HOURS,-123.361459895826,48.4234091079463
305, , , , , ,PARKING METER,3324,2.5,2 HOURS,-123.361049865374,48.4233633813678
306, , , , , ,PARKING METER,3326,2.5,2 HOURS,-123.360729357929,48.4233300905691
307, , , , , ,PARKING METER,3325,2.5,2 HOURS,-123.360969305368,48.423353928341
308, , , , , ,PARKING METER,3328,2.5,2 HOURS,-123.360514624056,48.423304065495
309, , , , , ,PARKING METER,3329,2.5,2 HOURS,-123.360281015162,48.4232819684785
310, , , , , ,PARKING METER,3327,2.5,2 HOURS,-123.360646632022,48.4233211191176
311, , , , , ,PARKING METER,3234,2.5,2 HOURS,-123.360385072394,48.4231989321465
